Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Shou Wu Teng,Caulis Polygoni Multiflori,Polygonum multiflorum Thunb.,racine,douce et légèrement amère,neutre,Shou Shao Yin Coeur et Zu Jue Yin Foie,Fortifie le Coeur / Nourrit le Sang / Calme le Shen / Disperse le vent / Calme le prurit / Ouvre les Luo / Active la circulation de Sang / Facilite la circulation de Qi dans les méridiens,"Vide de Sang et de Yin avec insomnie et rêves qui perturbent le sommeil. / Vide du Sang du Foie avec engourdissements, fourmillements, douleurs diffuses, prurit.","Plus Suan Zao Ren, Semen Zizyphi et Bai Zi Ren, Semen Biotae pour le vide du Sang du Coeur avec insomnie et rêves causant la frayeur. / Plus Dang Gui, Radix Angelicae Sinensis, Ji Xue Teng, Radix Millettiae et Dan Shen, Radix Salviae Miltiorrhizae pour le vide de Sang causant l’affaiblissement musculaire, les douleurs diffuses, les engourdissements et les fourmillements.",9 à 30 g en décoction.,,,,,
Yuan Zhi,Radix Polygalae,Polygala tenuifolia Willd.,ver à soie parasité,salée et piquante,neutre,"Zu Jue Yin Foie, Shou Tai Yin Poumon et Zu Yang Ming Estomac",Eteint le vent interne / Calme les spasmes / Chasse le vent / Dissout les glaires / Arrête la douleur / Elimine le prurit / Elimine les toxiques / Disperse les nodules,"Agitation du vent du Foie ou attaque de vent- glaires. / Vide de la Rate et diarrhée prolongée causant des spasmes chroniques. / Attaque du vent Zhong Feng avec déviation de la bouche et des yeux et spasmes du visage. / Vent-chaleur avec céphalée et lacrimation par le vent, mal de gorge, prurit.","Plus Niu Huang, Calculus Bovis, Huang Lian, Rhizoma Coptidis et Dan Nan Xing, Pulvis Arisaematis cum Felle Bovis pour les glaires-chaleur avec attaques épileptiformes et convulsions. / Plus Dang Shen, Radix Codonopsitis, Bai Zhu, Rhizoma Atractylodis Albae et Tian Ma, Rhizoma Gastrodiae pour les convulsions et les spasmes suite à une diarrhée chronique par vide de Rate. / Plus Chan Tui, Periostracum Cicadae, Quan Xie, Buthus Martensis et Wu Gong, Scolopendra pour les attaques épileptiformes. / Plus Sang Zhi, Ramulus Mori, Ju Hua, Flos Chry- santhemi Morifolii et Jing Jie, Herba Schizonepetae pour le vent-chaleur avec céphalée et yeux rouges. / Plus Jie Geng, Radix Platycodi, Gan Cao, Radix Glycyrrhizae et Bo He, Herba Menthae pour le vent-chaleur avec voix rauque et gorge gonflée, douloureuse et rouge. / Plus Xia Ku Cao, Spica Prunellae, Bei Mu, Bulbus Fritillariae et Mu Li, Concha Ostreae pour les nodules par glaires et la scrofule. / Plus Chan Tui, Periostracum Cicadae, Fang Feng, Radix Ledebourelliae et Mu Dan Pi, Cortex Moutan Radicis pour les éruptions et le prurit par le vent.",3 à 10 g en décoction.,,vide de Sang.,"hypnotique, anticonvulsif, antitumoral, antibactérien.",Bai Jian Can San / Jian Jin San / LiuWeiTang,
Ci Ji Li,Fructus Tribuli,Tribulus terrestris L.,fruit,piquante et amère,tiède,Zu Jue Yin Foie et Shou Tai Yin Poumon,Calme le Foie / Fait descendre le Yang / Active la circulation du Qi du Foie / Elimine la stagnation de Qi / Calme la douleur / Chasse le vent / Arrête le prurit / Clarifie la vue,"Montée du Yang du Foie avec éblouissements, vertige, distension de la tête, céphalée. / Stagnation du Qi du Foie avec distension douloureuse de la poitrine et de la région hypochondria- que et obstruction de la lactation. / Vent-chaleur du méridien du Foie avec yeux rouges et lacrimation excessive. / Vent-chaleur du Sang avec prurit et éruptions.","Plus Gou Teng, Ramulus Uncariae cum Uncis, Ju Hua, Flos Chrysanthemi Morifolii et Bai Shao, Radix Paeoniae Albae pour la montée du Yang du Foie avec céphalée, distension de la tête, éblouissements, vertige. / Plus Chai Hu, Radix Bupleuri, Ju Ye, Folium Citri, Qing Pi, Pericarpium Citri Reticulatae Viride, Xiang Fu, Rhizoma Cyperi pour la stagnation de Qi du Foie avec douleur et distension de la poitrine et de la région hypochondriaque et lactation difficile. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Man Jing Zi, Fructus Viticis, Jue Ming Zi, Semen Cassiae pour le vent-chaleur du méridien du Foie avec yeux rouges et lacrimation. / Plus Fang Feng, Radix Ledebourelliae, Jing Jie, Herba Schizonepetae et Chan Tui, Periostracum Cicadae pour le vent-chaleur du Sang avec éruptions et prurit. / Plus Gou Teng, Ramulus Uncariae cum Uncis et Niu Xi, Radix Achyranthis pour la montée du Yang du Foie avec céphalée, éblouissements, vertige.",6 à 12 g en décoction.,,la grossesse; vide de Qi et de Sang.,"hypotenseur, diurétique, antibactérien.",Bai Ji Li San,
Di Long,Lumbricus,Pheretima aspergillum (E. Perrier),corps entier,salée,froide,"Zu Jue Yin Foie, Zu Tai Yin Rate, Shou Tai Yin Poumon et Zu Tai Yang Vessie",Fonctions / Clarifie la chaleur / Elimine le vent interne / Calme l’asthme et la toux / Calme le prurit / Favorise la diurèse / Ouvre les Luo,"Plénitude chaleur avec agitation du vent, convulsions et spasmes. / Syndrome Bi par chaleur-humidité avec articulations rouges, gonflées, douloureuses et difficultés au mouvement, / Syndrome Bi par vent-humidité avec articulations froides, douloureuses et difficultés de bouger. / Obstruction des méridiens par vide de Qi et stagnation de Sang avec hémiplégie. / Accumulation de chaleur dans la Vessie avec dysurie. / Chaleur du Poumon avec asthme.","Plus Gou Teng, Ramulus Uncariae cum Uncis, Bai Jiang Can, Bombyx Batryticatus et Quan Xie, Buthus Martensis pour la plénitude chaleur avec fièvre importante, convulsions et spasmes. / Plus Ma Huang, Herba Ephedrae, Ku Xing Ren, Semen Armeniacae Amarae et Huang Qin, Radix Scutellariae pour la chaleur du Poumon avec asthme. / Plus Dan Shen, Radix Salviae Miltiorrhizae et Ci Shi, Magnetitum pour la montée du Yang du Foie. / Plus Wu Tou, Radix Aconiti et Tian Nan Xing, Rhizoma Arisaematis pour le syndrome Bi par vent-froid-humidité avec articulations doulou- / _ reuses, froides et raides. / Plus Sang Zhi, Ramulus Mori, Ren Dong Teng, Caulis Lonicerae et Chi Shao, Radix Paeoniae Rubrae pour le syndrome Bi par chaleur-humidité avec articulations rouges, gonflées et douloureuses. / Plus Dang Gui, Radix Angelicae Sinensis, Chuan Xiong, Radix Ligustici Wallichii et Huang Qi, Radix Astragali pour l’obstruction des méridiens par le vide de Qi et la stagnation du Sang avec hémiplégie. / Plus Huang Qi, Radix Astragali, Dang Gui, Radix Angelicae Sinensis et Chi Shao, Radix Paeoniae Rubrae pour le Zhong Feng avec hémiplégie. / Plus Che Qian Zi, Semen Plantaginis et Mu Tong, / Caulis Akebiae pour l’accumulation de chaleur dans la Vessie. / Plus Dang Gui, Radix Angelicae Sinensis et Rou Gui, Cortex Cinnamomi pour la douleur traumatique du bas du dos et des jambes. / Plus Niu Xi, Radix Achyranthis, Dong Kui Zi, Semen Malvae et Jin Qian Cao, Herba Lysimachiae pour le syndrome Re Lin chaleur ou Shi Lin calculs avec rétention urinaire, calculs urinaires, oedème.",5 à 15 g en décoction.,,,"hypotenseur, bronchodilatateur, anti-asthmatique, diurétique, activateur utérin, antipyrétique, sédatif, anticonvulsif, hémolytique.",Bu Yang Huan Wu Tang / Xiao Huo Luo Dan,
Gou Teng,Ramulus Uncariae Cum Uncis,Uncaria rhyncholphylla (Miq.),coquille,salée,légèrement froide,Zu Jue Yin Foie et Zu Shao Yin Reins,Rafraîchit le Foie / Descend le Yang du Foie / Favorise le Yin / Clarifie les yeux / Clarifie la chaleur du Poumon / Traite la chaleur s’évaporant des os,"Montée du Yang du Foie avec éblouissements et vertiges, bourdonnements d’oreille, insomnie. / Montée du feu du Foie avex yeux rouges, gonflés, douloureux, troubles de la vue. / Vide de Yin des Reins et du Foie et montée du Yang du Foie. / Vide de Sang du Foie avec troubles de la vue chroniques et yeux secs.","Plus Mu Li, Concha Ostreae, Sheng Di Huang, Radix Rehmanniae et Bai Shao, Radix Paeoniae Albae pour la montée du Yang du Foie par vide du Rein et du Foie avec éblouissements et vertiges. / Plus Xia Ku Cao, Spica Prunellae, Ju Hua, Flos Chrysanthemi Morifolii, Gou Teng, Ramulus Uncariae cum Uncis pour la chaleur du Foie et montée du Yang avec éblouissements et vertiges, céphalée, distension de la tête et des yeux, visage rouge. / Plus Shu Di Huang, Radix Rehmanniae Praepara- ta, Gou Qi Zi, Fructus Lycii, Tu Si Zi, Semen Cuscutae et Shan Zhu Yu, Fructus Corni pour le vide du Sang du Foie avec troubles de la vue. / Plus Cang Zhu, Rhizoma Atractylodis Lanceae pour l’affaiblissement de la vision nocturne. / Plus Chan Tui, Periostracum Cicadae pour la perte progressive de la vision.",15 à 30 g en décoction longue (concasser et envelopper dans un sachet en coton); 2 à 3 g en poudre.,"les doses léthales de la katsutoxine vont de 0,07 à 0,7 mg/kg chez l’animal. Les symptômes d’intoxication sont les spasmes des extrémités, la salivation excessive, l’arrêt respiratoire.",vide de la Rate et de l’Estomac.,"hémostatique, analgésique, anti-acide.",Shi Jue Ming Wan / Shi Jue Ming San,Buthus Martensis Karsch
Tian Ma,Rhizoma Gastrodiae,Gastrodia elata Bl.,corps entier,piquante et salée,tiède et toxique,Zu Jue Yin Foie,Eteint le vent interne / Arrête les spasmes / Elimine les toxiques / Désobstrue les Luo / Calme la douleur / Disperse les amas,"Syndromes Vent avec opisthotonos, convulsions infantiles, blocage de la mâchoire, attaques épileptiformes. / Nodules et enflures toxiques tels que les abcès, la scrofule, les morsures de serpents. / Douleurs Bi et céphalée récalcitrante par vent- humidité ou stagnation du Sang.","Plus Quan Xie, Buthus Martensis, Jiang Can, Bombyx Batryticatus et Gou Teng, Ramulus Uncariae cum Uncis pour le vent causant des spasmes, des contractures, des crampes, de l’opisthotonos dans le tétanos ou les convulsions infantiles. / Plus Gan Cao, Radix Glyçyrrhizae et la cire d’abeille en application externe sur la scrofule, les abcès et les morsures de serpent. / Plus Tian Ma, Rhizoma Gastrodiae, Bai Jiang Can, Bombyx Batryticatus, Gou Teng, Ramulus Uncariae cum Uncis et Chuan Xiong, Radix Ligustici Wallichii pour la douleur Bi ou la céphalée récalcitrante par vent-humidité ou stagnation du Sang.","1 à 3 g en décoction; 0,6 à 1 g en poudre.",Cette herbe est toxique. Il faut respecter les dosages.,la grossesse.,"anticonvulsif, antifongique, antitumoral, antidiphtérique.",Wu Gong San / Er Bu San,Scolopendra subspinipes mutilans LKoch.
Ju Pi,Pericarpium Citri Reticulatae,Citrus reticulata Blanco,peau du fruit,piquante et amère; aromatique,tiède,"Zu Tai Yin Rate, Zu Yang Ming Estomac et Shou Tai Yin Poumon",Règle le Qi de la Rate et de l’Estomac / Tonifie la Rate / Assèche l’humidité / Transforme les glaires / Descend le Qi contraire / Arrête le vomissement,"Stagnation du Qi de la Rate et de l’Estomac avec distension épigastrique, ballonnement abdominal, renvois, nausées, vomissements, perte de l’appétit, diarrhée. / Accumulation d’humidité entravant la Rate et l’Estomac avec plénitude et oppression de la poitrine et de la région épigastrique, mauvais appétit, fatigue, diarrhée, enduit lingual blanc et gras. / Accumulation d’humidité par vide de Rate formant des glaires troubles qui obstruent le Poumon et causent la toux avec une expectoration profuse. / Froid et stagnation de Qi de l’Estomac avec plénitude et douleur abdominales et vomissement.","Plus Hou Po, Cortex Magnoliae et Cang Zhu, Rhizoma Atractylodis Lanceae pour l’accumulation d’humidité entravant la Rate, avec plénitude et oppression de la poitrine et de l’épigastre, peu d’appétit, fatigue, diarrhée. / Plus Bai Zhu, Rhizoma Atractylodis Albae, Dang Shen, Radix Codonopsitis et Sha Ren, Fructus Amomi Villosi pour le froid vide de la Rate et de l’Estomac avec vomissement. / Plus Sheng Jiang, Rhizoma Zingiberis Recens pour la stagnation de Qi de la Rate et de l’Estomac causant la nausée, le vomissement, le hoquet. / Plus Zhu Ru, Caulis Bambusae in Taeniis et Huang Lian, Rhizoma Coptidis pour la chaleur de l’Estomac avec vomissement. / Plus Ban Xia, Rhizoma Pinelliae et Fu Ling, Sclerotium Poriae pour les glaires troubles bloquant le Poumon et causant l’oppression de la poitrine et la toux avec glaires profuses. / Plus Gan Cao, Radix Glycyrrhizae ou plus She Xiang, Moschus pour l’abcès du sein.",3 à 9 g en décoction.,,vide de Yin ou de Qi avec toux sèche; glaires-chaleur; plénitude de sécheresse; hémoptysie.,"expectorant, anti-asthmatique, cholagogue, vasodilatateur coronarien, hypocholestérolémiant, stomachique, hypertenseur, stimulant cardiaque, anti-inflammatoire, anti-oedémateux, antitussif, antibactérien.",Er Chen Tang / Liu Jun Zi Tang / Ping Wei San,"la qualité du Chen Pi s’améliore avec le temps. En diététique on utilise un Chen Pi jeune. En phytothérapie on choisit un Chen Pi vieux de trois ans. La meilleure qualité, très chère d’ailleurs, est le Chen Pi vieux de 10 ans. / Chen Pi, Pericarpium Citri Reticulatae est utilisée comme messager dans de nombreuses formules tonifiantes pour éviter l’effet agglutinant de celles- ci. / On remplace souvent Chen Pi, Pericarpium Citri Reticulatae par Ju Hong, Pericarpium Citri Erythro- carpae. Ces deux herbes sont très similaires. La seconde est cependant plus amère, plus chaude et plus asséchante. Elle convient donc mieux pour éliminer l’accumulation d’humidité et les glaires."
Chen Xiang,Lignum Aquilariae,Aquilaria agallocha Roxb.,le bois,piquante et amère; aromatique,tiède,"Zu Tai Yin Rate, Zu Yang Ming Estomac et Zu Shao Yin Reins",Règle le Qi / Calme la douleur / Descend le Qi / Arrête le vomissement / Réchauffe le Centre / Rétablit le Yang / Chasse le froid / Réchauffe les Reins / Aide les Reins à saisir le Qi du Poumon / Calme l’asthme et la dyspnée,"Stagnation de Qi et de froid et éventuellement stagnation de Sang avec distension et douleur abdominale, nausées, vomissement, hoquet. / Froid vide de l’Estomac avec renvois et vomissements. / Qi contraire par plénitude ou par vide causant la dyspnée, le vomissement, les renvois, le hoquet. / Les Reins ne saisissent pas le Qi du Poumon avec dyspnée ou asthme.","Plus Wu Yao, Radix Linderae et Mu Xiang, Radix Saussureae pour le ballonnement et la douleur abdominale et épigastrique. / Plus Ding Xiang, Flos Caryophylli et Bai Dou Kou, Fructus Amomi Cardamomi pour le froid de l’Estomac avec renvois et vomissements. / Plus Fu Zi, Radix Aconiti Carmichaeli Praeparata, Shu Di Huang, Radix Rehmanniae Praeparata, Shan Zhu Yu, Fructus Corni et Rou Gui, Cortex Cinnamomi pour les Reins ne saisissant pas le Qi du Poumon avec asthme et dyspnée. / Plus Ting Li Zi, Semen Lepidii et Ku Xing Ren, Semen Armeniacae Amarae pour la montée contraire du Qi avec dyspnée. / Plus Zi Su Ye, Folium Perillae pour le froid vide de la Rate et de l’Estomac avec hoquet et vomissement. / Plus Rou Gong Rong, Herba Cistanches pour le vide de Qi avec constipation.",1 à 3 g en décoction ou en poudre.,,vide de Yin; feu vide; effondrement du Qi.,"cholagogue, antimicrobien.",Jie Zhen Tang / Si Mo Tang,
Chuan Lian Zi,Fructus Meliae Toosendan,Melia toosendan Sieb. et Zucc.,fruit,amère,froide et légèrement toxique,"Zu Jue Yin Foie, Zu Yang Ming Estomac, Shou Tai Yang Intestin Grêle, Zu Tai Yang Vessie",Clarifie la chaleur / Assèche l’humidité / Mobilise le Qi / Arrête la douleur / Elimine les vers,Stagnation de Qi et de chaleur-humidité dans le Foie et l’Estomac avec distension et douleur épigastrique et abdominale. / Douleur Shan (hernie) avec gonflement des testi- / cules. / Parasites intestinaux causant la douleur abdominale.,"Plus Yan Hu Suo, Rhizoma Corydalis pour la stagnation de Qi dans le Foie et l’Estomac ou la plénitude du Foie et de la Vésicule Biliaire avec douleur et distension épigastrique et abdominale épisodiques accompagnées d’états émotionnels, insomnie, perte de l’appétit. / Plus Xiao Hui Xiang, Fructus Foeniculi, Mu Xiang, Radix Saussureae et Wu Zhu Yu, Fructus Evodiae pour la douleur Shan avec gonflement des testicules. / Plus Bing Lang, Semen Arecae et Lei Wan, Fructi- ficatio Polypori pour la douleur causée par les parasites.",3 à 10 g en décoction.,"la toosendânine peut causer des é- blouissements, des vomissements, la diarrhée, la dyspnée et la mort en cas de surdosage prolongé. Une expérience chez le porc a permis d’établir une issue fatale deux à trois heures après ingestion de 200 g.",froid vide de la Rate et de l’Estomac.,"antifongique, antiparasitique, antibactérien.",An Chong San / Dao Qi tang / Jin Ling Zi San,
Da Fu Pi,Pericarpium Arecae,Areca catechu L.,péricarpe,piquante,légèrement tiède,"Zu Tai Yin Rate, Zu Yang Ming Estomac, Shou Yang Ming Gros Intestin et Shou Tai Yang Intestin Grêle",Active la circulation du Qi / Elimine la stagnation de Qi dans les Intestins. / Elimine le ballonnement abdominal / Calme le foyer moyen / Elimine et mobilise l’humidité / Favorise la diurèse / Réduit l’oedème,"Stagnation de Qi et d’aliments avec plénitude abdominale, perte de l’appétit, renvois fétides, régurgitation acide, constipation, ténesme. / Rétention d’humidité entravant la Rate avec plénitude et oppression de la poitrine et de l’épigastre, perte de l’appétit, nausées, vomissements, enduit lingual gras. / Syndrome Jiao Qi (béri-béri) avec distension abdominale et Oedème.","Plus Hou Po, Cortex Magnoliae pour la stagnation de Qi et d’humidité causant la distension épigastrique et abdominale et les selles difficiles. / Plus Fu Ling Pi, Cortex Poriae et Sheng Jiang Pi, Cortex Zingiberis Recens pour l’oedème.",3 à 9 g en décoction. Précautions et contre-indications : vide de Qi.,,,"stimulant intestinal, hypotenseur.",Wu Pi Yin,
